Отметка времени,  Сколько часов в день ты тратишь на самостоятельное обучение (вне пар)?  ,  Что тебе больше нравится — теория или практика?  ,  Как тебе удобнее всего учиться?  ,  Как ты обычно готовишься к экзаменам?  ,  Как часто ты используешь ChatGPT для учёбы?  ,  Насколько ты дисциплинирован?  ,  Как часто ты пропускаешь пары?  ,  Что для тебя важнее?  ,  Как часто ты прокрастинируешь?  ,Как ты себя чувствуешь в конце учебной недели? ,KMeans_Cluster,Hierarch_Cluster
06.03.2026 13:33:43,"3 = 1–2 часа, я молодец",70/30,4 = Слушать объяснения других,"3 = За неделю, я взрослый","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",0,1
06.03.2026 13:42:04,1 = Почти не учусь сам,70/30,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","2 = Стараюсь, но Instagram сильнее","3 = Иногда, если очень надо",1 = Знания — оценка это просто цифра,"4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",1,0
06.03.2026 18:20:48,"3 = 1–2 часа, я молодец",30/70,5 = Всё вместе,"2 = За пару дней, классика","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо",1 = Знания — оценка это просто цифра,"2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",0,1
06.03.2026 19:56:43,1 = Почти не учусь сам,5 = Только практика,3 = Решать задачи,"2 = За пару дней, классика","3 = Иногда, чтобы проверить себя","2 = Стараюсь, но Instagram сильнее","1 = Никогда, я примерный студент",5 = Главное — закрыть сессию и выжить,"3 = Иногда, но потом наверстываю","3 = Нормально, бывало и хуже",2,0
06.03.2026 20:37:22,"минут-30. Мы не лошади, мы люди",30/70,4 = Слушать объяснения других,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","2 = Стараюсь, но Instagram сильнее","2 = Редко, только по уважительной причине",5 = Главное — закрыть сессию и выжить,"4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",1,0
07.03.2026 18:50:46,4 = 2–3 часа,3 = Поровну,4 = Слушать объяснения других,4 = Готовлюсь заранее как нормальный человек,"3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине",5 = Главное — закрыть сессию и выжить,"1 = Никогда, я робот","4 = Неплохо, справляюсь",0,1
07.03.2026 18:54:05,"минут-30. Мы не лошади, мы люди",30/70,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"5 = ChatGPT пишет, я сдаю",1 = Дедлайн — моя единственная мотивация,"3 = Иногда, если очень надо","4 = Оценка важнее, знания придут потом","3 = Иногда, но потом наверстываю","2 = Устал, но живой",1,0
07.03.2026 18:56:40,"3 = 1–2 часа, я молодец",3 = Поровну,5 = Всё вместе,"2 = За пару дней, классика","4 = Часто, это мой лучший друг",4 = Обычно всё делаю вовремя,"2 = Редко, только по уважительной причине","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","1 = Я труп, заберите меня отсюда",2,0
07.03.2026 19:03:06,"минут-30. Мы не лошади, мы люди",5 = Только практика,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"2 = Стараюсь, но Instagram сильнее","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","3 = Нормально, бывало и хуже",0,1
07.03.2026 19:08:31,4 = 2–3 часа,3 = Поровну,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","3 = Иногда, если очень надо",1 = Знания — оценка это просто цифра,"4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",0,2
07.03.2026 19:18:27,"минут-30. Мы не лошади, мы люди",3 = Поровну,5 = Всё вместе,,"5 = ChatGPT пишет, я сдаю",5 = У меня расписание на 3 месяца вперёд,"3 = Иногда, если очень надо",5 = Главное — закрыть сессию и выжить,"4 = Часто, но в последний момент всё успеваю","1 = Я труп, заберите меня отсюда",2,0
07.03.2026 19:26:24,1 = Почти не учусь сам,70/30,,"3 = За неделю, я взрослый","4 = Часто, это мой лучший друг",4 = Обычно всё делаю вовремя,"3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",2,0
07.03.2026 19:28:29,"3 = 1–2 часа, я молодец",3 = Поровну,1 = Смотреть видео/лекции,"2 = За пару дней, классика","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","1 = Никогда, я примерный студент","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","1 = Я труп, заберите меня отсюда",2,2
07.03.2026 19:29:34,"3 = 1–2 часа, я молодец",70/30,1 = Смотреть видео/лекции,"3 = За неделю, я взрослый","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","1 = Никогда, я примерный студент",5 = Главное — закрыть сессию и выжить,"3 = Иногда, но потом наверстываю","2 = Устал, но живой",2,0
07.03.2026 19:31:32,1 = Почти не учусь сам,30/70,5 = Всё вместе,"3 = За неделю, я взрослый","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","2 = Устал, но живой",2,0
07.03.2026 19:32:29,"3 = 1–2 часа, я молодец",70/30,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,"2 = Редко, только по уважительной причине","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",1,0
07.03.2026 19:36:08,"3 = 1–2 часа, я молодец",5 = Только практика,5 = Всё вместе,"3 = За неделю, я взрослый",2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","5 = Полон энергии, давайте ещё пары!",0,1
07.03.2026 19:38:33,4 = 2–3 часа,30/70,1 = Смотреть видео/лекции,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине","2 = Знания важнее, но оценка тоже приятна",,"5 = Полон энергии, давайте ещё пары!",0,2
07.03.2026 19:40:43,"минут-30. Мы не лошади, мы люди",3 = Поровну,3 = Решать задачи,"2 = За пару дней, классика","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","1 = Никогда, я примерный студент","2 = Знания важнее, но оценка тоже приятна","4 = Часто, но в последний момент всё успеваю","1 = Я труп, заберите меня отсюда",2,2
07.03.2026 19:40:47,4 = 2–3 часа,30/70,1 = Смотреть видео/лекции,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","5 = Полон энергии, давайте ещё пары!",0,2
07.03.2026 19:44:07,"3 = 1–2 часа, я молодец",5 = Только практика,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,"3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",1,0
07.03.2026 19:46:36,"3 = 1–2 часа, я молодец",3 = Поровну,1 = Смотреть видео/лекции,"3 = За неделю, я взрослый","4 = Часто, это мой лучший друг","2 = Стараюсь, но Instagram сильнее","1 = Никогда, я примерный студент","2 = Знания важнее, но оценка тоже приятна","4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",2,2
07.03.2026 19:46:47,"3 = 1–2 часа, я молодец",30/70,2 = Читать текст/книги,"2 = За пару дней, классика","5 = ChatGPT пишет, я сдаю","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","2 = Устал, но живой",2,2
07.03.2026 19:50:25,"минут-30. Мы не лошади, мы люди",3 = Поровну,2 = Читать текст/книги,"2 = За пару дней, классика","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","2 = Устал, но живой",2,2
07.03.2026 19:51:54,"3 = 1–2 часа, я молодец",3 = Поровну,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",0,1
07.03.2026 20:00:07,"минут-30. Мы не лошади, мы люди",70/30,2 = Читать текст/книги,"3 = За неделю, я взрослый","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному",4 = Преподаватели уже забыли моё лицо,"4 = Оценка важнее, знания придут потом","1 = Никогда, я робот","1 = Я труп, заберите меня отсюда",0,1
07.03.2026 20:02:20,"3 = 1–2 часа, я молодец",30/70,1 = Смотреть видео/лекции,"3 = За неделю, я взрослый","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине",1 = Знания — оценка это просто цифра,"4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",2,2
07.03.2026 20:04:22,4 = 2–3 часа,30/70,1 = Смотреть видео/лекции,4 = Готовлюсь заранее как нормальный человек,2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине","3 = Хочу и знания и пятёрку, я жадный","3 = Иногда, но потом наверстываю","2 = Устал, но живой",2,2
07.03.2026 20:04:54,"минут-30. Мы не лошади, мы люди",70/30,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,"2 = Редко, только по уважительной причине","2 = Знания важнее, но оценка тоже приятна","4 = Часто, но в последний момент всё успеваю","4 = Неплохо, справляюсь",1,0
07.03.2026 20:06:19,1 = Почти не учусь сам,70/30,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,"5 = ChatGPT пишет, я сдаю","2 = Стараюсь, но Instagram сильнее",4 = Преподаватели уже забыли моё лицо,5 = Главное — закрыть сессию и выжить,"4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",1,0
07.03.2026 20:22:24,"минут-30. Мы не лошади, мы люди",70/30,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","4 = Неплохо, справляюсь",1,2
07.03.2026 20:42:34,"минут-30. Мы не лошади, мы люди",70/30,5 = Всё вместе,"2 = За пару дней, классика","4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,"1 = Никогда, я примерный студент","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","2 = Устал, но живой",1,0
07.03.2026 20:48:44,"3 = 1–2 часа, я молодец",70/30,1 = Смотреть видео/лекции,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","2 = Устал, но живой",1,1
07.03.2026 20:50:58,4 = 2–3 часа,30/70,3 = Решать задачи,4 = Готовлюсь заранее как нормальный человек,"3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","2 = Редко, обычно держу себя в руках","4 = Неплохо, справляюсь",0,1
07.03.2026 20:51:47,"минут-30. Мы не лошади, мы люди",5 = Только практика,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному",4 = Преподаватели уже забыли моё лицо,"2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",1,1
07.03.2026 20:57:07,"3 = 1–2 часа, я молодец",30/70,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","3 = Иногда, но потом наверстываю","2 = Устал, но живой",1,1
07.03.2026 21:33:18,4 = 2–3 часа,30/70,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,4 = Обычно всё делаю вовремя,"1 = Никогда, я примерный студент","2 = Знания важнее, но оценка тоже приятна","4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",2,2
07.03.2026 21:42:13,4 = 2–3 часа,30/70,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","3 = Нормально, бывало и хуже",0,1
07.03.2026 22:19:02,"минут-30. Мы не лошади, мы люди",5 = Только практика,3 = Решать задачи,"2 = За пару дней, классика","3 = Иногда, чтобы проверить себя","3 = Средне, бывает по-разному","3 = Иногда, если очень надо","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",0,1
08.03.2026 0:16:08,"минут-30. Мы не лошади, мы люди",5 = Только практика,4 = Слушать объяснения других,4 = Готовлюсь заранее как нормальный человек,2 = Только когда совсем не понимаю,"2 = Стараюсь, но Instagram сильнее","3 = Иногда, если очень надо","3 = Хочу и знания и пятёрку, я жадный","3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",0,1
08.03.2026 0:26:48,"минут-30. Мы не лошади, мы люди",70/30,4 = Слушать объяснения других,1 = Экзамен завтра — начинаю сегодня в 23:00,"3 = Иногда, чтобы проверить себя","2 = Стараюсь, но Instagram сильнее","3 = Иногда, если очень надо",5 = Главное — закрыть сессию и выжить,"4 = Часто, но в последний момент всё успеваю","2 = Устал, но живой",1,0
08.03.2026 3:10:06,4 = 2–3 часа,30/70,4 = Слушать объяснения других,4 = Готовлюсь заранее как нормальный человек,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","2 = Редко, только по уважительной причине",5 = Главное — закрыть сессию и выжить,"3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",0,1
08.03.2026 8:05:48,"3 = 1–2 часа, я молодец",70/30,4 = Слушать объяснения других,"2 = За пару дней, классика","5 = ChatGPT пишет, я сдаю","3 = Средне, бывает по-разному","3 = Иногда, если очень надо",1 = Знания — оценка это просто цифра,"2 = Редко, обычно держу себя в руках","1 = Я труп, заберите меня отсюда",1,1
